file;red;green;blue
_bows2-2585.jpg;0.161934;0.161934;0.161934
_bows2-262.jpg;0.0801735;0.0801735;0.0801735
_bows2-2624.jpg;0.286327;0.286327;0.286327
_bows2-2653.jpg;0.200752;0.200752;0.200752
_bows2-2671.jpg;0.451725;0.451725;0.451725
_bows2-27.jpg;0.270996;0.270996;0.270996
_bows2-2740.jpg;0.283413;0.283413;0.283413
_bows2-2775.jpg;0.251011;0.251011;0.251011
_bows2-2786.jpg;0.252968;0.252968;0.252968
_bows2-2810.jpg;0.165966;0.165966;0.165966
_bows2-2841.jpg;0.150326;0.150326;0.150326
_bows2-2872.jpg;0.395344;0.395344;0.395344
_bows2-2882.jpg;0.304356;0.304356;0.304356
_bows2-2898.jpg;0.313774;0.313774;0.313774
_bows2-293.jpg;0.17157;0.17157;0.17157
_bows2-295.jpg;0.123718;0.123718;0.123718
_bows2-2998.jpg;0.346146;0.346146;0.346146
_bows2-3002.jpg;0.251289;0.251289;0.251289
_bows2-3005.jpg;0.257828;0.257828;0.257828
_bows2-3036.jpg;0.343151;0.343151;0.343151
_bows2-3040.jpg;0.441761;0.441761;0.441761
_bows2-3069.jpg;0.27853;0.27853;0.27853
_bows2-3071.jpg;0.220459;0.220459;0.220459
_bows2-3087.jpg;0.142307;0.142307;0.142307
_bows2-3089.jpg;0.245224;0.245224;0.245224
_bows2-3123.jpg;0.264351;0.264351;0.264351
_bows2-3125.jpg;0.316944;0.316944;0.316944
_bows2-3147.jpg;0.269402;0.269402;0.269402
_bows2-3177.jpg;0.319351;0.319351;0.319351
_bows2-3192.jpg;0.303635;0.303635;0.303635
_bows2-3208.jpg;0.30167;0.30167;0.30167
_bows2-3245.jpg;0.16124;0.16124;0.16124
_bows2-3282.jpg;0.217342;0.217342;0.217342
_bows2-3305.jpg;0.229263;0.229263;0.229263
_bows2-3326.jpg;0.267357;0.267357;0.267357
_bows2-3342.jpg;0.358906;0.358906;0.358906
_bows2-3343.jpg;0.195442;0.195442;0.195442
_bows2-3411.jpg;0.116749;0.116749;0.116749
_bows2-3430.jpg;0.247185;0.247185;0.247185
_bows2-348.jpg;0.177944;0.177944;0.177944
_bows2-3505.jpg;0.14386;0.14386;0.14386
_bows2-3552.jpg;0.190155;0.190155;0.190155
_bows2-3559.jpg;0.180313;0.180313;0.180313
_bows2-3569.jpg;0.11689;0.11689;0.11689
_bows2-3580.jpg;0.311806;0.311806;0.311806
_bows2-3604.jpg;0.22908;0.22908;0.22908
_bows2-361.jpg;0.360348;0.360348;0.360348
_bows2-3635.jpg;0.14201;0.14201;0.14201
_bows2-3677.jpg;0.240047;0.240047;0.240047
_bows2-3711.jpg;0.255566;0.255566;0.255566
_bows2-3730.jpg;0.180016;0.180016;0.180016
_bows2-3736.jpg;0.239185;0.239185;0.239185
_bows2-3747.jpg;0.391964;0.391964;0.391964
_bows2-376.jpg;0.152649;0.152649;0.152649
_bows2-3787.jpg;0.325966;0.325966;0.325966
_bows2-3825.jpg;0.268894;0.268894;0.268894
_bows2-3829.jpg;0.344719;0.344719;0.344719
_bows2-3849.jpg;0.175426;0.175426;0.175426
_bows2-3861.jpg;0.324535;0.324535;0.324535
_bows2-3865.jpg;0.174747;0.174747;0.174747
_bows2-3867.jpg;0.262993;0.262993;0.262993
_bows2-3888.jpg;0.3535;0.3535;0.3535
_bows2-3897.jpg;0.352322;0.352322;0.352322
_bows2-3952.jpg;0.412037;0.412037;0.412037
_bows2-3977.jpg;0.214138;0.214138;0.214138
_bows2-4000.jpg;0.47757;0.47757;0.47757
_bows2-4105.jpg;0.315517;0.315517;0.315517
_bows2-4121.jpg;0.178699;0.178699;0.178699
_bows2-418.jpg;0.302013;0.302013;0.302013
_bows2-4203.jpg;0.0980377;0.0980377;0.0980377
_bows2-4284.jpg;0.318199;0.318199;0.318199
_bows2-43.jpg;0.159889;0.159889;0.159889
_bows2-4300.jpg;0.331921;0.331921;0.331921
_bows2-4327.jpg;0.215374;0.215374;0.215374
_bows2-4348.jpg;0.14291;0.14291;0.14291
_bows2-4350.jpg;0.176514;0.176514;0.176514
_bows2-4353.jpg;0.175949;0.175949;0.175949
_bows2-4354.jpg;0.179432;0.179432;0.179432
_bows2-4431.jpg;0.371395;0.371395;0.371395
_bows2-4434.jpg;0.244396;0.244396;0.244396
_bows2-4456.jpg;0.157585;0.157585;0.157585
_bows2-4490.jpg;0.263523;0.263523;0.263523
_bows2-4507.jpg;0.261497;0.261497;0.261497
